Req#,Requirement,Explanation,Testable Assertions,Test cases,Tags,Priority,Version & Section/Sub-Section,Comments,Status,Date Integrated,AHA Idea reference
,"An LRS's Agent Profile API rejects a POST request with ""agent"" as a parameter if it is not an Agent Object with error code 400 Bad Request (format, 7.6.table3.row1.a)",,,,"Defined by spec,Agent Profile API,Format",0,"""1.0.2_ref_text"": ""format, 7.6.table3.row1.a"",

""1.0.2_ref"": ""7.6.table3.row1.a"",

""1.0.3_ref"": ""part3.2.6.table1.row1.a"",

""1.0.3_link"": [

""Communication.md#2.6.s3.table1.row1""

]",,Integrated,,XAPI-I-427
,"An LRS's Agent Profile API rejects a POST request without ""agent"" as a parameter with error code 400 Bad Request (multiplicity, 7.6.table3.row1.c)",,,,"Defined by spec,Agent Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.6.table3.row1.c"",

""1.0.2_ref"": ""7.6.table3.row1.c"",

""1.0.3_ref"": ""part3.2.6.table1.row1.c"",

""1.0.3_link"": [

""Communication.md#2.6.s3.table1.row1""

]",,Integrated,,XAPI-I-426
,An LRS's Agent Profile API accepts POST requests (7.6),,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.6"",

""1.0.2_ref"": ""7.6"",

""1.0.3_ref"": ""part3.2.6"",

""1.0.3_link"": [

""Communication.md#2.6.s2""

]",,Integrated,,XAPI-I-425
,An LRS's Agent Profile API upon processing a successful PUT request returns code 204 No Content (7.6.e),,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.6.e"",

""1.0.2_ref"": ""7.6.e"",

""1.0.3_ref"": ""part3.2.6.b"",

""1.0.3_link"": [

""Communication.md#2.6.s3""

]",,Integrated,,XAPI-I-424
,"An LRS's Agent Profile API rejects a PUT request with ""profileId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.6.table3.row2.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-423
,"An LRS's Agent Profile API rejects a PUT request without ""profileId"" as a parameter with error code 400 Bad Request (multiplicity, 7.6.table3.row2.c)",,,,"Defined by spec,Agent Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.6.table3.row2.c"",

""1.0.2_ref"": ""7.6.table3.row2.c"",

""1.0.3_ref"": ""part3.2.6.table1.row2.c"",

""1.0.3_link"": [

""Communication.md#2.6.s3.table1.row2""

]",,Integrated,,XAPI-I-422
,"An LRS's Agent Profile API rejects a PUT request with ""agent"" as a parameter if it is not an Agent Object with error code 400 Bad Request (format, 7.6.table3.row1.a)",,,,"Defined by spec,Format,Agent Profile API",0,"""1.0.2_ref_text"": ""format, 7.6.table3.row1.a"",

""1.0.2_ref"": ""7.6.table3.row1.a"",

""1.0.3_ref"": ""part3.2.6.table1.row1.a"",

""1.0.3_link"": [

""Communication.md#2.6.s3.table1.row1""

]",,Integrated,,XAPI-I-421
,"An LRS's Agent Profile API rejects a PUT request without ""agent"" as a parameter with error code 400 Bad Request (multiplicity, 7.6.table3.row1.c)",,,,"Defined by spec,Agent Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.6.table3.row1.c"",

""1.0.2_ref"": ""7.6.table3.row1.c"",

""1.0.3_ref"": ""part3.2.6.table1.row1.c"",

""1.0.3_link"": [

""Communication.md#2.6.s3.table1.row1""

]",,Integrated,,XAPI-I-420
,An LRS's Agent Profile API accepts PUT requests (7.6),,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.6"",

""1.0.2_ref"": ""7.6"",

""1.0.3_ref"": ""part3.2.6"",

""1.0.3_link"": [

""Communication.md#2.6.s2""

]",,Integrated,,XAPI-I-419
,"An LRS's Agents API upon processing a successful GET request returns a Person Object based on matched data from the ""agent"" parameter and code 200 OK (7.6.d)",,,,Defined by spec,0,,,Integrated,,XAPI-I-418
,"An LRS's Agents API upon processing a successful GET request returns a Person Object if the ""agent"" parameter can be found in the LRS and code 200 OK (7.6.c, 7.6.d)",,,,Defined by spec,0,,,Integrated,,XAPI-I-417
,"An LRS's Agents API rejects a GET request with ""agent"" as a parameter if it is a valid (in structure) Agent with error code 400 Bad Request (format, 7.6.table2.row1.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-416
,"An LRS's Agents API rejects a GET request without ""agent"" as a parameter with error code 400 Bad Request (multiplicity, 7.6.table2.row1.c)",,,,"Defined by spec,Agents API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.6.table2.row1.c"",

""1.0.2_ref"": ""7.6.table2.row1.c"",

""1.0.3_ref"": ""part3.2.4.table1.row1.c"",

""1.0.3_link"": [

""Communication.md#2.4.s2.table1.row1""

]",,Integrated,,XAPI-I-415
,An LRS's Agents API accepts GET requests (7.6),,,,"Defined by spec,Agents API",0,"""1.0.2_ref_text"": ""7.6"",

""1.0.2_ref"": ""7.6"",

""1.0.3_ref"": ""part3.2.4"",

""1.0.3_link"": [

""Communication.md#2.4.s2""

]",,Integrated,,XAPI-I-414
,"An LRS's returned array of ids from a successful GET request all refer to documents stored after the TimeStamp in the ""since"" parameter of the GET request if such a parameter was present (7.5.table3.row2)",,,,Defined by spec,0,,,Integrated,,XAPI-I-413
,"An LRS's Activity Profile API upon processing a successful GET request without ""profileId"" as a parameter returns an array of ids of activity profile documents satisfying the requirements of the GET and code 200 OK (7.5.d)",,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.5.d"",

""1.0.2_ref"": ""7.5.d"",

""1.0.3_ref"": ""part3.2.7.c"",

""1.0.3_link"": [

""Communication.md#2.7.s3""

]",,Integrated,,XAPI-I-412
,"An LRS's Activity Profile API upon processing a successful GET request with a valid ""profileId"" as a parameter returns the document satisfying the requirements of the GET and code 200 OK (7.5.c)",,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.5.c"",

""1.0.2_ref"": ""7.5.c"",

""1.0.3_ref"": ""part3.2.7.b"",

""1.0.3_link"": [

""Communication.md#2.7.s3""

]",,Integrated,,XAPI-I-411
,"An LRS's Activity Profile API rejects a GET request with ""since"" as a parameter if it is not a ""TimeStamp"", with error code 400 Bad Request (format, 7.5.table3.row2.a)",,,,"Defined by spec,Format,Activity Profile API",0,"""1.0.2_ref_text"": ""format, 7.5.table3.row2.a"",

""1.0.2_ref"": ""7.5.table3.row2.a"",

""1.0.3_ref"": ""format, Communication.md#2.7.s4.table1.row2"",

""1.0.3_link"": [""Communication.md#2.7.s4.table1.row2""]",,Integrated,,XAPI-I-410
,"An LRS's Activity Profile API can process a GET request with ""since"" as a parameter (multiplicity, 7.5.table3.row2.c, 7.5.table3.row2.b)",,,,"Defined by spec,Activity Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.5.table3.row2.c, 7.5.table3.row2.b"",

""1.0.2_ref"": ""7.5.table3.row2.c, 7.5.table3.row2.b"",

""1.0.3_ref"": ""format, Communication.md#2.7.s4.table1.row2"",

""1.0.3_link"": [""Communication.md#2.7.s4.table1.row2""]",,Integrated,,XAPI-I-409
,"An LRS's Activity Profile API rejects a GET request with ""agent"" as a parameter if it is not in JSON format with error code 400 Bad Request (format, 7.4.table2.row2.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-408
,"An LRS's Activity Profile API rejects a GET request with ""activityId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.5.table2.row1.a)",,,,"Defined by spec,Activity Profile API,Format",0,"""1.0.2_ref_text"": ""format, 7.5.table2.row1.a"",

""1.0.2_ref"": ""7.5.table2.row2.a"",

""1.0.3_ref"": ""format, Communication.md#2.7.s3.table1.row1, Communication.md#2.7.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.7.s3.table1.row1"", ""Communication.md#2.7.s4.table1.row1""]",,Integrated,,XAPI-I-407
,"An LRS's Activity Profile API rejects a GET request without ""activityId"" as a parameter with error code 400 Bad Request (multiplicity, 7.5.table2.row1.c)",,,,"Defined by spec,Activity Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.5.table2.row1.c"",

""1.0.2_ref"": ""7.5.table2.row1.c"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.7.s3.table1.row1, Communication.md#2.7.s4.table1.row1"",

""1.0.3_link"": [""Communication.md#2.7.s3.table1.row1"", ""Communication.md#2.7.s4.table1.row1""]",,Integrated,,XAPI-I-406
,An LRS's Activity Profile API accepts GET requests (7.5),,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.5"",

""1.0.2_ref"": ""7.5"",

""1.0.3_ref"": ""Communication.md#2.7"",

""1.0.3_link"": [""Communication.md#2.7""]",,Integrated,,XAPI-I-405
,An LRS's Activity Profile API upon processing a successful DELETE request deletes the associated profile and returns code 204 No Content (7.5.b),,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.5.b"",

""1.0.2_ref"": ""7.5.b"",

""1.0.3_ref"": ""Communication.md#2.7.s2"",

""1.0.3_link"": [""Communication.md#2.7.s2""]",,Integrated,,XAPI-I-404
,"An LRS's Activity Profile API rejects a DELETE request with ""profileId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.5.table2.row2.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-403
,"An LRS's Activity Profile API rejects a DELETE request without ""profileId"" as a parameter with error code 400 Bad Request (multiplicity, 7.5.table2.row1.c)",,,,"Defined by spec,Activity Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.5.table2.row1.c"",

""1.0.2_ref"": ""7.5.table2.row1.c"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.7.s3.table1.row2"",

""1.0.3_link"": [""Communication.md#2.7.s3.table1.row2""]",,Integrated,,XAPI-I-402
,"An LRS's Activity Profile API rejects a DELETE request with ""activityId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.5.table2.row2.a)",,,,"Defined by spec,Activity Profile API,Format",0,"""1.0.2_ref_text"": ""format, 7.5.table2.row2.a"",

""1.0.2_ref"": ""7.5.table2.row2.a"",

""1.0.3_ref"": ""format, Communication.md#2.7.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.7.s3.table1.row1""]",,Integrated,,XAPI-I-401
,"An LRS's Activity Profile API rejects a DELETE request without ""activityId"" as a parameter with error code 400 Bad Request (multiplicity, 7.5.table2.row1.c)",,,,"Defined by spec,Activity Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.5.table2.row1.c"",

""1.0.2_ref"": ""7.5.table2.row1.c"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.7.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.7.s3.table1.row1""]",,Integrated,,XAPI-I-400
,An LRS's Activity Profile API accepts DELETE requests (7.5),,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.5"",

""1.0.2_ref"": ""7.5"",

""1.0.3_ref"": ""Communication.md#2.7"",

""1.0.3_link"": [""Communication.md#2.7""]",,Integrated,,XAPI-I-399
,An LRS's Activity Profile API upon processing a successful POST request returns code 204 No Content (7.5.b),,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.5.b"",

""1.0.2_ref"": ""7.5.b"",

""1.0.3_ref"": ""Communication.md#2.7.s2"",

""1.0.3_link"": [""Communication.md#2.7.s2""]",,Integrated,,XAPI-I-398
,"An LRS's Activity Profile API API rejects a POST request with ""profileId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.5.table2.row2.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-397
,"An LRS's Activity Profile API rejects a POST request without ""profileId"" as a parameter with error code 400 Bad Request (multiplicity, 7.5.table2.row1.c)",,,,"Defined by spec,Multiplicity,Activity Profile API",0,"""1.0.2_ref_text"": ""multiplicity, 7.5.table2.row1.c"",

""1.0.2_ref"": ""7.5.table2.row1.c"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.7.s3.table1.row2"",

""1.0.3_link"": [""Communication.md#2.7.s3.table1.row2""]",,Integrated,,XAPI-I-396
,"An LRS's Activity Profile API rejects a POST request with ""activityId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.5.table2.row2.a)",,,,"Defined by spec,Activity Profile API,Format",0,"""1.0.2_ref_text"": ""format, 7.5.table2.row2.a"",

""1.0.2_ref"": ""7.5.table2.row2.a"",

""1.0.3_ref"": ""format, Communication.md#2.7.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.7.s3.table1.row1""]",,Integrated,,XAPI-I-395
,"An LRS's Activity Profile API rejects a POST request without ""activityId"" as a parameter with error code 400 Bad Request (multiplicity, 7.5.table2.row1.c)",,,,"Defined by spec,Activity Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.5.table2.row1.c"",

""1.0.2_ref"": ""7.5.table2.row1.c"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.7.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.7.s3.table1.row1""]",,Integrated,,XAPI-I-394
,An LRS's Activity Profile API accepts POST requests (7.5),,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.5"",

""1.0.2_ref"": ""7.5"",

""1.0.3_ref"": ""Communication.md#2.7"",

""1.0.3_link"": [""Communication.md#2.7""]",,Integrated,,XAPI-I-393
,An LRS's Activity Profile API upon processing a successful PUT request returns code 204 No Content (7.5.b),,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.5.b"",

""1.0.2_ref"": ""7.5.b"",

""1.0.3_ref"": ""Communication.md#2.7.s2"",

""1.0.3_link"": [""Communication.md#2.7.s2""]",,Integrated,,XAPI-I-392
,"An LRS's Activity Profile API rejects a PUT request with ""profileId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.5.table2.row2.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-391
,"An LRS's Activity Profile API rejects a PUT request without ""profileId"" as a parameter with error code 400 Bad Request (multiplicity, 7.5.table2.row1.c)",,,,"Defined by spec,Activity Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.5.table2.row1.c"",

""1.0.2_ref"": ""7.5.table2.row2.c"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.7.s3.table1.row2"",

""1.0.3_link"": [""Communication.md#2.7.s3.table1.row2""]",,Integrated,,XAPI-I-390
,"An LRS's Activity Profile API API rejects a PUT request with ""activityId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.5.table2.row2.a)",,,,"Defined by spec,Activity Profile API,Format",0,"""1.0.2_ref_text"": ""format, 7.5.table2.row2.a"",

""1.0.2_ref"": ""7.5.table2.row2.a"",

""1.0.3_ref"": ""format, Communication.md#2.7.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.7.s3.table1.row1""]",,Integrated,,XAPI-I-389
,"An LRS's Activity Profile API rejects a PUT request without ""activityId"" as a parameter with error code 400 Bad Request (multiplicity, 7.5.table2.row1.c)",,,,"Defined by spec,Activity Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.5.table2.row1.c"",

""1.0.2_ref"": ""7.5.table2.row1.c"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.7.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.7.s3.table1.row1""]",,Integrated,,XAPI-I-388
,An LRS's Activity Profile API accepts PUT requests (7.5),,,,"Defined by spec,Activity Profile API",0,"""1.0.2_ref_text"": ""7.5"",

""1.0.2_ref"": ""7.5"",

""1.0.3_ref"": ""Communication.md#2.7"",

""1.0.3_link"": [""Communication.md#2.7""]•ÈÀ",,Integrated,,XAPI-I-387
,An LRS's Activities API upon processing a successful GET request returns the complete Activity Object (7.5),,,,"Defined by spec,Activities API",0,"""1.0.2_ref_text"": ""7.5"",

""1.0.2_ref"": ""7.5"",

""1.0.3_ref"": ""Communication.md#2.5.s1"",

""1.0.3_link"": [""Communication.md#2.5.s1""]",,Integrated,,XAPI-I-386
,"An LRS's Activities API rejects a GET request with ""activityId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.5.table1.row1.a)",,,,"Defined by spec,Activities API,Format",0,"""1.0.2_ref_text"": ""format, 7.5.table1.row1.a"",

""1.0.2_ref"": ""7.5.table1.row1.a"",

""1.0.3_ref"": ""format, Communication.md#2.5.s1.table1.row1"",

""1.0.3_link"": [""Communication.md#2.5.s1.table1.row1""]",,Integrated,,XAPI-I-385
,"An LRS's Activities API rejects a GET request without ""activityId"" as a parameter with error code 400 Bad Request (multiplicity, 7.5.table1.row1.b)",,,,"Defined by spec,Activities API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.5.table1.row1.b"",

""1.0.2_ref"": ""7.5.table1.row1.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.5.s1.table1.row1"",

""1.0.3_link"": [""Communication.md#2.5.s1.table1.row1""]",,Integrated,,XAPI-I-384
,An LRS's Activities API accepts GET requests (7.5),,,,"Defined by spec,Activities API",0,"""1.0.2_ref_text"": ""7.5"",

""1.0.2_ref"": ""7.5"",

""1.0.3_ref"": ""Communication.md#2.5"",

""1.0.3_link"": [""Communication.md#2.5""]",,Integrated,,XAPI-I-383
,"An LRS's State API upon processing a successful DELETE request without ""stateId"" as a parameter deletes documents satisfying the requirements of the DELETE and code 200 OK (7.4.d)",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.4.d"",

""1.0.2_ref"": ""7.4.d"",

""1.0.3_ref"": ""Communication.md#2.3.s5"",

""1.0.3_link"": [""Communication.md#2.3.s5""]",,Integrated,,XAPI-I-382
,"An LRS's State API upon processing a successful DELETE request with a valid ""stateId"" as a parameter deletes the document satisfying the requirements of the DELETE and returns code 204 No Content (7.4.b) NOTE: There is no requirement here that the LRS reacts to the ""since"" parameter in the case of a GET request with valid ""stateId"" - this is intentional",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.4.b"",

""1.0.2_ref"": ""7.4.b"",

""1.0.3_ref"": ""Communication.md#2.3.s3"",

""1.0.3_link"": [""Communication.md#2.3.s3""]",,Integrated,,XAPI-I-381
,"An LRS's State API rejects a DELETE request with ""since"" as a parameter if it is not a ""TimeStamp"", with error code 400 Bad Request (format, 7.4.table2.row4.a) And this would follow...",,,,"Defined by spec,State API,Format",0,"""1.0.2_ref_text"": ""format, 7.4.table2.row4.a"",

""1.0.2_ref"": ""7.4.table3.row4.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s3.table1.row4"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row4""]",,Integrated,,XAPI-I-380
,"An LRS's State API can process a DELETE request with ""since"" as a parameter (multiplicity, 7.4.table2.row4.b, 7.4.table2.row3.b) Is this valid??",,,,Defined by spec,0,,,Integrated,,XAPI-I-379
,"An LRS's State API rejects a DELETE request with ""stateId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.4.table1.row1.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-378
,"An LRS's State API can process a DELETE request with ""stateId"" as a parameter (multiplicity, 7.4.table1.row3.b, 7.4.table2.row3.b) (multiplicity, 7.4.table1.row1.b)",,,,"Defined by spec,State API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row3.b, 7.4.table2.row3.b"",

""1.0.2_ref"": ""7.4.table1.row3.b, 7.4.table2.row3.b, 7.4.table1.row1.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row4"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row4""]",,Integrated,,XAPI-I-377
,"An LRS's State API rejects a DELETE request with ""registration"" as a parameter if it is not a UUID with error code 400 Bad Request (format, 7.4.table1.row3.a)",,,,"Defined by spec,State API,Format",0,"""1.0.2_ref_text"": ""format, 7.4.table1.row3.a"",

""1.0.2_ref"": ""7.4.table1.row3.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s3.table1.row3"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row3""]",,Integrated,,XAPI-I-376
,"An LRS's State API can process a DELETE request with ""registration"" as a parameter (multiplicity, 7.4.table1.row3.b)",,,,"Defined by spec,State API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row3.b"",

""1.0.2_ref"": ""7.4.table1.row3.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row3"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row3""]",,Integrated,,XAPI-I-375
,"An LRS's State API rejects a DELETE request with ""agent"" as a parameter if it is not in JSON format with error code 400 Bad Request (format, 7.4.table1.row2.a)",,,,"Defined by spec,State API,Format",0,"""1.0.2_ref_text"": ""format, 7.4.table1.row2.a"",

""1.0.2_ref"": ""7.4.table1.row2.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s3.table1.row2"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row2""]",,Integrated,,XAPI-I-374
,"An LRS's State API rejects a DELETE request without ""agent"" as a parameter with error code 400 Bad Request (multiplicity, 7.4.table1.row2.b)",,,,"Defined by spec,State API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row2.b"",

""1.0.2_ref"": ""7.4.table1.row2.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row2"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row2""]",,Integrated,,XAPI-I-373
,"An LRS's State API rejects a DELETE request with ""activityId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.4.table1.row1.a)",,,,"Defined by spec,State API,Format",0,"""1.0.2_ref_text"": ""format, 7.4.table1.row1.a"",

""1.0.2_ref"": ""7.4.table1.row1.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row1""]",,Integrated,,XAPI-I-372
,"An LRS's State API rejects a DELETE request without ""activityId"" as a parameter with error code 400 Bad Request (multiplicity, 7.4.table1.row1.b)",,,,"Defined by spec,State API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row1.b"",

""1.0.2_ref"": ""7.4.table1.row1.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row1"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row1""]",,Integrated,,XAPI-I-371
,An LRS's State API accepts DELETE requests (7.4),,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.4"",

""1.0.2_ref"": ""7.4"",

""1.0.3_ref"": ""Communication.md#2.3"",

""1.0.3_link"": [""Communication.md#2.3""]",,Integrated,,XAPI-I-370
,"An LRS's returned array of ids from a successful GET request all refer to documents stored after the TimeStamp in the ""since"" parameter of the GET request (7.4.table2.row4)",,,,"Defined by spec,TimeStamp",0,"""1.0.2_ref_text"": ""7.4.table2.row4"",

""1.0.2_ref"": ""7.4.table2.row4"",

""1.0.3_ref"": ""Communication.md#2.3.s4.table1.row4"",

""1.0.3_link"": [""Communication.md#2.3.s4.table1.row4""]",,Integrated,,XAPI-I-369
,"An LRS's State API upon processing a successful GET request without ""stateId"" as a parameter returns an array of ids of state data documents satisfying the requirements of the GET and code 200 OK (7.4.c)",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.4.c"",

""1.0.2_ref"": ""7.4.c"",

""1.0.3_ref"": ""Communication.md#2.3.s4"",

""1.0.3_link"": [""Communication.md#2.3.s4""]",,Integrated,,XAPI-I-368
,"An LRS's State API upon processing a successful GET request with a valid ""stateId"" as a parameter returns the document satisfying the requirements of the GET and code 200 OK (7.4.b) NOTE: There is no requirement here that the LRS reacts to the ""since"" parameter in the case of a GET request with valid ""stateId"" - this is intentional",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""7.4.b"",

""1.0.2_ref"": ""7.4.b"",

""1.0.3_ref"": ""Communication.md#2.3.s3"",

""1.0.3_link"": [""Communication.md#2.3.s3""]",,Integrated,,XAPI-I-367
,"An LRS's State API rejects a GET request with ""since"" as a parameter if it is not a ""TimeStamp"", with error code 400 Bad Request (format, 7.4.table2.row4.a)",,,,"Defined by spec,State API,Format",0,"""1.0.2_ref_text"": ""format, 7.4.table2.row4.a"",

""1.0.2_ref"": ""7.4.table2.row4.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s4.table1.row4"",

""1.0.3_link"": [""Communication.md#2.3.s4.table1.row4""]",,Integrated,,XAPI-I-366
,"An LRS's State API can process a GET request with ""since"" as a parameter (multiplicity, 7.4.table2.row4.b, 7.4.table2.row3.b)",,,,"Defined by spec,State API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table2.row4.b, 7.4.table2.row3.b"",

""1.0.2_ref"": ""7.4.table2.row4.b, 7.4.table2.row3.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s4.table1.row4"",

""1.0.3_link"": [""Communication.md#2.3.s4.table1.row4""]",,Integrated,,XAPI-I-365
,"An LRS's State API rejects a GET request with ""stateId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.4.table1.row1.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-364
,"An LRS's State API can process a GET request with ""stateId"" as a parameter (multiplicity, 7.4.table1.row3.b, 7.4.table2.row3.b) (multiplicity, 7.4.table1.row1.b)",,,,"Defined by spec,State API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row3.b, 7.4.table2.row3.b"",

""1.0.2_ref"": ""7.4.table1.row3.b, 7.4.table2.row3.b, 7.4.table1.row1.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row4"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row4""]",,Integrated,,XAPI-I-363
,"An LRS's State API rejects a GET request with ""registration"" as a parameter if it is not a UUID with error code 400 Bad Request (format, 7.4.table1.row3.a)",,,,"Defined by spec,State API,Format",0,"""1.0.2_ref_text"": ""format, 7.4.table1.row3.a"",

""1.0.2_ref"": ""7.4.table1.row3.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s3.table1.row3"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row3""]",,Integrated,,XAPI-I-362
,"An LRS's State API can process a GET request with ""registration"" as a parameter (multiplicity, 7.4.table1.row3.b)",,,,"Defined by spec,State API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row3.b"",

""1.0.2_ref"": ""7.4.table1.row3.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row3"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row3""]",,Integrated,,XAPI-I-361
,"An LRS's State API rejects a GET request with ""agent"" as a parameter if it is not in JSON format with error code 400 Bad Request (format, 7.4.table1.row2.a)",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""format, 7.4.table1.row2.a"",

""1.0.2_ref"": ""7.4.table1.row2.a"",

""1.0.3_ref"": ""format, Communication.md#2.3.s3.table1.row2"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row2""]",,Integrated,,XAPI-I-360
,"An LRS's State API rejects a GET request without ""agent"" as a parameter with error code 400 Bad Request (multiplicity, 7.4.table1.row2.b)",,,,"Defined by spec,State API",0,"""1.0.2_ref_text"": ""multiplicity, 7.4.table1.row2.b"",

""1.0.2_ref"": ""7.4.table1.row2.b"",

""1.0.3_ref"": ""multiplicity, Communication.md#2.3.s3.table1.row2"",

""1.0.3_link"": [""Communication.md#2.3.s3.table1.row2""]",,Integrated,,XAPI-I-359
